Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
実験 ４,OTHER_OUTDOOR,14-03-2018,05:59:58,00:10:38,,76,,,,,19,70,,,,0,,,,160.0,50.0,172,55,39,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,,,,,,,,,,
,00:00:01,,,,,,,,,,
,00:00:02,,,,,,,,,,
,00:00:03,,,,,,,,,,
,00:00:04,,,,,,,,,,
,00:00:05,,,,,,,,,,
,00:00:06,,,,,,,,,,
,00:00:07,125,,,,,,,,,
,00:00:08,125,,,,,,,,,
,00:00:09,125,,,,,,,,,
,00:00:10,125,,,,,,,,,
,00:00:11,125,,,,,,,,,
,00:00:12,124,,,,,,,,,
,00:00:13,124,,,,,,,,,
,00:00:14,124,,,,,,,,,
,00:00:15,123,,,,,,,,,
,00:00:16,123,,,,,,,,,
,00:00:17,123,,,,,,,,,
,00:00:18,123,,,,,,,,,
,00:00:19,122,,,,,,,,,
,00:00:20,122,,,,,,,,,
,00:00:21,121,,,,,,,,,
,00:00:22,121,,,,,,,,,
,00:00:23,121,,,,,,,,,
,00:00:24,121,,,,,,,,,
,00:00:25,121,,,,,,,,,
,00:00:26,121,,,,,,,,,
,00:00:27,120,,,,,,,,,
,00:00:28,120,,,,,,,,,
,00:00:29,120,,,,,,,,,
,00:00:30,119,,,,,,,,,
,00:00:31,119,,,,,,,,,
,00:00:32,119,,,,,,,,,
,00:00:33,119,,,,,,,,,
,00:00:34,119,,,,,,,,,
,00:00:35,118,,,,,,,,,
,00:00:36,117,,,,,,,,,
,00:00:37,117,,,,,,,,,
,00:00:38,116,,,,,,,,,
,00:00:39,115,,,,,,,,,
,00:00:40,115,,,,,,,,,
,00:00:41,114,,,,,,,,,
,00:00:42,114,,,,,,,,,
,00:00:43,114,,,,,,,,,
,00:00:44,114,,,,,,,,,
,00:00:45,114,,,,,,,,,
,00:00:46,113,,,,,,,,,
,00:00:47,113,,,,,,,,,
,00:00:48,113,,,,,,,,,
,00:00:49,112,,,,,,,,,
,00:00:50,112,,,,,,,,,
,00:00:51,111,,,,,,,,,
,00:00:52,111,,,,,,,,,
,00:00:53,100,,,,,,,,,
,00:00:54,93,,,,,,,,,
,00:00:55,88,,,,,,,,,
,00:00:56,84,,,,,,,,,
,00:00:57,81,,,,,,,,,
,00:00:58,78,,,,,,,,,
,00:00:59,77,,,,,,,,,
,00:01:00,76,,,,,,,,,
,00:01:01,75,,,,,,,,,
,00:01:02,75,,,,,,,,,
,00:01:03,74,,,,,,,,,
,00:01:04,74,,,,,,,,,
,00:01:05,75,,,,,,,,,
,00:01:06,75,,,,,,,,,
,00:01:07,75,,,,,,,,,
,00:01:08,75,,,,,,,,,
,00:01:09,75,,,,,,,,,
,00:01:10,75,,,,,,,,,
,00:01:11,74,,,,,,,,,
,00:01:12,74,,,,,,,,,
,00:01:13,73,,,,,,,,,
,00:01:14,73,,,,,,,,,
,00:01:15,73,,,,,,,,,
,00:01:16,73,,,,,,,,,
,00:01:17,73,,,,,,,,,
,00:01:18,73,,,,,,,,,
,00:01:19,72,,,,,,,,,
,00:01:20,72,,,,,,,,,
,00:01:21,71,,,,,,,,,
,00:01:22,71,,,,,,,,,
,00:01:23,71,,,,,,,,,
,00:01:24,71,,,,,,,,,
,00:01:25,71,,,,,,,,,
,00:01:26,71,,,,,,,,,
,00:01:27,71,,,,,,,,,
,00:01:28,71,,,,,,,,,
,00:01:29,71,,,,,,,,,
,00:01:30,71,,,,,,,,,
,00:01:31,71,,,,,,,,,
,00:01:32,70,,,,,,,,,
,00:01:33,71,,,,,,,,,
,00:01:34,72,,,,,,,,,
,00:01:35,72,,,,,,,,,
,00:01:36,72,,,,,,,,,
,00:01:37,72,,,,,,,,,
,00:01:38,72,,,,,,,,,
,00:01:39,72,,,,,,,,,
,00:01:40,72,,,,,,,,,
,00:01:41,71,,,,,,,,,
,00:01:42,71,,,,,,,,,
,00:01:43,71,,,,,,,,,
,00:01:44,70,,,,,,,,,
,00:01:45,70,,,,,,,,,
,00:01:46,70,,,,,,,,,
,00:01:47,70,,,,,,,,,
,00:01:48,70,,,,,,,,,
,00:01:49,70,,,,,,,,,
,00:01:50,70,,,,,,,,,
,00:01:51,70,,,,,,,,,
,00:01:52,71,,,,,,,,,
,00:01:53,71,,,,,,,,,
,00:01:54,70,,,,,,,,,
,00:01:55,70,,,,,,,,,
,00:01:56,69,,,,,,,,,
,00:01:57,68,,,,,,,,,
,00:01:58,69,,,,,,,,,
,00:01:59,70,,,,,,,,,
,00:02:00,72,,,,,,,,,
,00:02:01,73,,,,,,,,,
,00:02:02,73,,,,,,,,,
,00:02:03,74,,,,,,,,,
,00:02:04,74,,,,,,,,,
,00:02:05,74,,,,,,,,,
,00:02:06,74,,,,,,,,,
,00:02:07,74,,,,,,,,,
,00:02:08,74,,,,,,,,,
,00:02:09,75,,,,,,,,,
,00:02:10,75,,,,,,,,,
,00:02:11,75,,,,,,,,,
,00:02:12,74,,,,,,,,,
,00:02:13,74,,,,,,,,,
,00:02:14,74,,,,,,,,,
,00:02:15,74,,,,,,,,,
,00:02:16,74,,,,,,,,,
,00:02:17,74,,,,,,,,,
,00:02:18,74,,,,,,,,,
,00:02:19,75,,,,,,,,,
,00:02:20,75,,,,,,,,,
,00:02:21,75,,,,,,,,,
,00:02:22,75,,,,,,,,,
,00:02:23,75,,,,,,,,,
,00:02:24,74,,,,,,,,,
,00:02:25,74,,,,,,,,,
,00:02:26,74,,,,,,,,,
,00:02:27,74,,,,,,,,,
,00:02:28,74,,,,,,,,,
,00:02:29,74,,,,,,,,,
,00:02:30,73,,,,,,,,,
,00:02:31,73,,,,,,,,,
,00:02:32,73,,,,,,,,,
,00:02:33,72,,,,,,,,,
,00:02:34,71,,,,,,,,,
,00:02:35,70,,,,,,,,,
,00:02:36,69,,,,,,,,,
,00:02:37,70,,,,,,,,,
,00:02:38,70,,,,,,,,,
,00:02:39,70,,,,,,,,,
,00:02:40,69,,,,,,,,,
,00:02:41,69,,,,,,,,,
,00:02:42,70,,,,,,,,,
,00:02:43,72,,,,,,,,,
,00:02:44,72,,,,,,,,,
